2026-05-11 22:34:53,TEST_EVENT,Перевірка роботи event logger,25,5,50,1
2026-05-11 19:44:49,PLC_STATUS_READ,Користувач оновив стан PLC,49,15,100,1
2026-05-11 19:46:36,PLC_STATUS_READ,Користувач оновив стан PLC,71,15,100,1
2026-05-11 19:46:37,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:38,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:39,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:39,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:39,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:39,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:39,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:40,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:40,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:40,PLC_STATUS_READ,Користувач оновив стан PLC,72,15,100,1
2026-05-11 19:46:55,PLC_STATUS_READ,Користувач оновив стан PLC,73,15,100,1
2026-05-12 10:54:07,PLC_STATUS_READ,Користувач оновив стан PLC,31,14,59,1
2026-05-12 10:54:09,PLC_STATUS_READ,Користувач оновив стан PLC,32,15,60,1
2026-05-12 10:54:09,PLC_STATUS_READ,Користувач оновив стан PLC,32,15,61,1
2026-05-12 10:54:10,PLC_STATUS_READ,Користувач оновив стан PLC,32,15,61,1
2026-05-12 10:54:48,ANOMALY_DETECTION,Аномалій не виявлено,37,15,80,1
2026-05-12 10:55:10,PLC_STATUS_READ,Користувач оновив стан PLC,43,15,91,1
2026-05-12 10:55:13,PLC_STATUS_READ,Користувач оновив стан PLC,44,15,93,1
2026-05-12 10:55:14,PLC_STATUS_READ,Користувач оновив стан PLC,44,15,93,1
2026-05-12 10:55:16,PLC_STATUS_READ,Користувач оновив стан PLC,45,15,94,1
2026-05-12 10:55:17,PLC_STATUS_READ,Користувач оновив стан PLC,45,15,95,1
2026-05-12 10:55:25,PLC_STATUS_READ,Користувач оновив стан PLC,45,15,98,1
2026-05-12 10:55:30,PLC_STATUS_READ,Користувач оновив стан PLC,46,15,100,1
2026-05-12 10:55:30,PLC_STATUS_READ,Користувач оновив стан PLC,46,15,100,1
2026-05-12 10:55:34,PLC_STATUS_READ,Користувач оновив стан PLC,47,15,100,1
2026-05-12 10:55:35,PLC_STATUS_READ,Користувач оновив стан PLC,47,15,100,1
2026-05-12 10:55:35,PLC_STATUS_READ,Користувач оновив стан PLC,47,15,100,1
2026-05-12 10:55:38,PLC_STATUS_READ,Користувач оновив стан PLC,47,15,100,1
2026-05-12 10:55:39,PLC_STATUS_READ,Користувач оновив стан PLC,47,15,100,1
2026-05-12 10:55:43,PLC_STATUS_READ,Користувач оновив стан PLC,48,15,100,1
2026-05-12 10:55:44,PLC_STATUS_READ,Користувач оновив стан PLC,48,15,100,1
2026-05-12 10:55:44,PLC_STATUS_READ,Користувач оновив стан PLC,48,15,100,1
2026-05-12 11:10:34,PLC_STATUS_READ,Користувач оновив стан PLC,37,15,70,1
2026-05-12 11:10:35,PLC_STATUS_READ,Користувач оновив стан PLC,37,15,71,1
2026-05-12 11:11:10,ANOMALY_DETECTION,Аномалій не виявлено,46,15,89,1
2026-05-12 11:25:46,PLC_STATUS_READ,Користувач оновив стан PLC,120,15,100,1
2026-05-12 11:25:47,PLC_STATUS_READ,Користувач оновив стан PLC,120,15,100,1
2026-05-12 11:36:34,PLC_STATUS_READ,Користувач оновив стан PLC,120,15,100,1
2026-05-12 11:50:05,PLC_STATUS_READ,Користувач оновив стан PLC,31,9,62,1
2026-05-12 11:50:14,PLC_STATUS_READ,Користувач оновив стан PLC,32,9,65,1
2026-05-12 11:50:17,PLC_STATUS_READ,Користувач оновив стан PLC,32,9,65,1
2026-05-12 11:50:18,PLC_STATUS_READ,Користувач оновив стан PLC,32,9,65,1
2026-05-12 11:50:18,PLC_STATUS_READ,Користувач оновив стан PLC,33,8,66,1
2026-05-12 11:55:39,PLC_STATUS_READ,Користувач оновив стан PLC,35,9,100,1
2026-05-12 11:55:41,PLC_STATUS_READ,Користувач оновив стан PLC,35,9,100,1
2026-05-14 14:46:18,TEST_EVENT,Перевірка event logger для Pump Station + Conveyor Line,28,5,60,1,1,70,12,0
2026-05-14 11:51:14,MOTOR_SPEED_MANIPULATION,Атака виконана: швидкість двигуна змінено на небезпечну,31,10,64,1,1,120,9,0
2026-05-14 11:51:33,FULL_SYSTEM_RECOVERY,Відновлено Pump Station та Conveyor Line,28,5,60,1,1,70,39,0
2026-05-14 11:51:45,EDUCATIONAL_STATUS_READ,У навчальному режимі перевірено стан PLC,37,9,73,1,1,70,44,0
2026-05-14 11:51:52,EDUCATIONAL_ATTACK,Навчальна атака виконана: насос примусово вимкнено,36,9,77,0,1,70,48,0
2026-05-14 11:51:56,EDUCATIONAL_STATUS_READ,У навчальному режимі перевірено стан PLC,35,8,75,0,1,70,50,0
2026-05-14 11:51:59,EDUCATIONAL_ATTACK,Навчальна атака виконана: насос примусово вимкнено,34,7,73,0,1,70,52,0
2026-05-14 11:52:00,EDUCATIONAL_RECOVERY,У навчальному режимі виконано відновлення системи,28,5,60,1,1,70,52,0
2026-05-14 11:52:02,EDUCATIONAL_STATUS_READ,У навчальному режимі перевірено стан PLC,33,8,73,1,1,70,53,0
2026-05-14 11:52:05,EDUCATIONAL_ATTACK,Навчальна атака виконана: насос примусово вимкнено,33,9,74,0,1,70,54,0
2026-05-14 11:52:05,EDUCATIONAL_STATUS_READ,У навчальному режимі перевірено стан PLC,32,9,74,0,1,70,55,0
2026-05-14 11:52:09,EDUCATIONAL_ANSWER,Користувач дав неправильну відповідь у навчальному сценарії,31,8,73,0,1,70,56,0
